company_name,company_domain,lead_rows
"Smith Seckman Reid, Inc.",ssr-inc.com,33
Societe Generale,societegenerale.com,33
Trellix,trellix.com,33
World Wide Technology,wwt.com,33
ASML,asml.com,32
AvePoint,avepoint.com,32
Bank Pekao S.A.,pekao.com.pl,32
"Bayview Asset Management, LLC",bayview.com,32
Blue Yonder,blueyonder.com,32
Booking.com,booking.com,32
CITY Furniture,cityfurniture.com,32
CVS Health,cvshealth.com,32
Canon Singapore,sg.canon,32
Coast Capital Savings,coastcapitalsavings.com,32
Comviva,comviva.com,32
Exabeam,exabeam.com,32
Fireblocks,fireblocks.com,32
General Motors,www.gm.com,32
Grocery Outlet,groceryoutlet.com,32
HGA,hga.com,32
Humana,humana.com,32
Invenergy,invenergy.com,32
Jama Software,jamasoftware.com,32
LGC,lgcgroup.com,32
Lucid Motors,lucidmotors.com,32
National Bank of Canada,www.bnc.ca,32
Okta,www.okta.com,32
Questrade Financial Group,questrade.com,32
Standard Insurance,standard.com,32
TaylorMade Golf Company,taylormadegolf.com,32
TestingXperts,testingxperts.com,32
University of Toronto,defygravitycampaign.utoronto.ca,32
Viatris,viatris.com,32
Wingstop Restaurants Inc.,www.wingstop.com,32
Zendesk,www.zendesk.com,32
adidas,adidas.com,32
ACI Worldwide,aciworldwide.com,31
Aptean,aptean.com,31
Basecone,wolterskluwer.com,31
Ben E. Keith Beverages,benekeith.com,31
Bristol Myers Squibb,www.bms.com,31
Chetu India,chetu.com,31
Digital Realty,digitalrealty.com,31
Entrust,entrust.com,31
Exact,exact.com,31
FreshBooks,freshbooks.com,31
GSMA,www.gsma.com,31
HCL,hcl.com,31
Instacart,instacart.com,31
Kaiser Permanente,kp.org,31
Markel,markel.com,31
N-able,n-able.com,31
Netflix,netflix.com,31
Rivian,rivian.com,31
Temasek,temasek.com.sg,31
Texas Health Resources,jobs.texashealth.org,31
Texas Instruments,ti.com,31
University of Virginia,virginia.edu,31
Zoox,zoox.com,31
AIS Survivex,www.bit.ly,30
American Century Investments,americancentury.com,30
Anaplan,anaplan.com,30
Atlas,oneatlas.com,30
Bain Capital,baincapital.com,30
Blazeclan Technologies,blazeclan.com,30
Bristol Myers Squibb,bms.com,30
Burberry,burberrycareers.com,30
Centric Brands,centricbrands.com,30
Contentful,contentful.com,30
Core & Main,coreandmain.com,30
Credit Suisse,www.credit-suisse.com,30
Cruise,getcruise.com,30
Emerson,emerson.com,30
Flagship Pioneering,flagshippioneering.com,30
Fortanix,fortanix.com,30
GardaWorld,garda.com,30
HSBC,www.hsbc.com,30
Hitachi Energy,hitachienergy.com,30
Houston International Insurance Group (HIIG),skywardinsurance.com,30
ING,ing.com,30
Indium,indium.tech,30
KnowBe4,knowbe4.com,30
Long View Systems,longviewsystems.com,30
MassMutual,massmutual.com,30
OneTrust,onetrust.com,30
PrimeSource Building Products,primesourcebp.com,30
Qualtrics,qualtrics.com,30
Quantexa,quantexa.com,30
Square,squareup.com,30
University of Washington,uw.edu,30
Warburg Pincus LLC,warburgpincus.com,30
Zimmer Biomet,zimmerbiomet.com,30
ADT,adt.com,29
Accordion,accordion.com,29
Airbus,airbus.com,29
Albertsons Companies,www.albertsonscompanies.com,29
Ampac Packaging,proampac.com,29
Aptiv,aptiv.com,29
Automation Anywhere,automationanywhere.com,29
Bank of America,bankofamerica.com,29
Bell,letstalk.bell.ca,29
Cleveland Clinic,my.clevelandclinic.org,29
Comarch,comarch.com,29
Consensys,consensys.world,29
Contentsquare,contentsquare.com,29
Dasa,dasa.com.br,29
David's Bridal,davidsbridal.com,29
Fivetran,fivetran.com,29
Fortress Investment Group,www.fortress.com,29
H.I.G. Capital,www.hig.com,29
HarbourVest Partners,harbourvest.com,29
Hines,hines.com,29
IEEE,ieee.org,29
Juniper Networks,juniper.net,29
Kapi‘olani Community College,www.kapiolani.hawaii.edu,29
Mars,mars.com,29
Marsh McLennan,marshmclennan.com,29
Mercer Advisors,merceradvisors.com,29
Mimecast,mimecast.com,29
OMERS,omers.com,29
Orion,orion.com,29
Palantir Technologies,palantir.com,29
Publicis Sapient,publicissapient.com,29
Recorded Future,recordedfuture.com,29
Redington Limited,redingtongroup.com,29
Reebok,reebok.com,29
T. Rowe Price,www.troweprice.com,29
YASH Technologies,yash.com,29
eSentire,esentire.com,29
Advance Auto Parts,www.advanceautoparts.com,28
AdventHealth,joinadventhealth.com,28
Bank of America Private Bank,privatebank.bankofamerica.com,28
Blue Cross Blue Shield of Massachusetts,www.bluecrossma.org,28
Bosch,www.bosch.com,28
Brookfield Properties,www.brookfieldproperties.com,28
Bupa,bupa.com,28
Calpine,calpine.com,28
ChenMed,chenmed.com,28
Co-operators,cooperators.ca,28
CompassMSP,compassmsp.com,28
Creative Planning,creativeplanning.com,28
Discovery Life Centre,discovery.co.za,28
Dynatrace,dynatrace.com,28
"Eby-Brown Company, LLC",www.eby-brown.com,28
Etisalat Services Holding,eand.com,28
G4F,g4f.com.br,28
Grupo Nós,raizen.com.br,28
Hexagon AB,hexagon.com,28
ING Poland,www.ing.pl,28
Icertis,icertis.com,28
Imperial College London,imperial.ac.uk,28
Intra-Cellular Therapies,intracellulartherapies.com,28
Invesco India Pvt. Ltd.,invesco.com,28
JumpCloud,jumpcloud.com,28
Maybank,www.maybank.com,28
Newgen Software,newgensoft.com,28
One97 Communications Limited,paytm.com,28
Personio,personio.com,28
Richemont,www.richemont.com,28
SAP,www.sap.com,28
Schroders,www.schroders.com,28
Sysdig,sysdig.com,28
Tanium,tanium.com,28
Énergir,www.energir.com,28
AIG,aig.com,27
Adastra,adastracorp.com,27
Arctic Wolf,arcticwolf.com,27
"Arrowstreet Capital, Limited Partnership",arrowstreetcapital.com,27
Atlas Air,www.atlasairworldwide.com,27
Avison Young,www.avisonyoung.com,27
Baxter International Inc.,baxter.com,27
Best Buy,jobs.bestbuy.com,27
Boston Medical Center (BMC),bmc.org,27
CAPTRUST,captrust.com,27
"CMTA, Inc.",cmta.com,27
CNB Bank,www.cnbbank.bank,27
Concentrix,concentrix.com,27
Custom Ink,www.customink.com,27
DLA Piper,dlapiper.com,27
Dataprise,dataprise.com,27
Del Monte Foods,delmontefoods.com,27
Deutsche Bahn,db.jobs,27
Docplanner,docplanner.com,27
ENGIE,engie.com,27
ESET,eset.com,27
Ensono,ensono.com,27
Fiverr,fiverr.com,27
Florida Blue,floridablue.com,27
Fortinet,www.fortinet.com,27
FreeAgent,freeagent.com,27
GREAT EASTERN,greateasternlife.com,27
General Motors,gm.com,27
Gore Mutual Insurance,goremutual.ca,27
Harry & David,harryanddavid.com,27
HighRadius,highradius.com,27
Hightower Advisors,www.hightoweradvisors.com,27
IQVIA,www.iqvia.com,27
Iron Mountain,ironmountain.com,27
Ivanti,ivanti.com,27
Johnson Controls,johnsoncontrols.com,27
K2M,stryker.com,27
Lenovo,www.lenovo.com,27
Liquid Intelligent Technologies,liquid.tech,27
NATS,www.nats.aero,27
NXP Semiconductors,nxp.com,27
Popular,popular.com,27
RateGain,rategain.com,27
RingLead: a ZoomInfo Company,zoominfo.com,27
Simmons Bank,simmonsbank.com,27
Smartsheet,smartsheet.com,27
Starr,starrcompanies.com,27
